KOI,logAiso,E_logAiso,e_logAiso
K02796,9.93,0.09,0.12
K02801,9.71,0.07,0.1
K02803,9.69,0.17,0.3
K02805,10.03,0.05,0.05
K02807,9.13,0.11,0.19
K02815,9.9,0.07,0.08
K02828,9.53,0.4,0.69
K02829,9.9,0.05,0.05
K02831,9.7,0.02,0.02
K02832,9.47,0.33,0.42
K02833,9.73,0.07,0.08
K02838,9.91,0.03,0.04
K02840,10.05,0.03,0.03
K02841,9.94,0.15,0.31
K02848,9.82,0.08,0.09
K02857,9.43,0.06,0.03
K02859,10.12,0.02,0.04
K02863,10.12,0.02,0.03
K02864,9.92,0.1,0.12
K02866,9.41,0.06,0.05
K02874,9.77,0.23,0.44
K02875,9.42,0.43,0.51
K02884,9.33,0.06,0.06
K02885,9.97,0.03,0.02
K02904,9.43,0.04,0.05
K02906,9.85,0.04,0.04
K02913,9.71,0.13,0.06
K02915,9.48,0.25,0.51
K02916,9.76,0.26,0.42
K02925,9.06,0.28,0.54
K02931,9.63,0.33,0.47
K02943,9.7,0.11,0.06
K02949,9.8,0.07,0.08
K02956,9.37,0.05,0.04
K02960,9.73,0.09,0.11
K02961,9.43,0.14,0.2
K02964,9.83,0.03,0.03
K02968,9.57,0.03,0.02
K02970,9.51,0.14,0.17
K02971,9.41,0.04,0.05
K02974,9.06,0.03,0.04
K02977,9.84,0.06,0.07
K02979,9.94,0.06,0.06
K02984,9.56,0.1,0.05
K03008,9.78,0.03,0.04
K03009,9.13,0.38,0.57
K03012,10.09,0.03,0.03
K03015,9.97,0.04,0.04
K03017,9.97,0.1,0.15
K03021,9.02,0.24,0.41
K03023,9.61,0.08,0.1
K03032,9.3,0.36,0.5
K03039,10.08,0.03,0.03
K03046,9.81,0.09,0.12
K03052,10.13,0.01,0.01
